Record ID Number, ,NID ID,Primary Owner Type,Primary Purpose,latitude,longitude,City,County,Tract_Code,Tracts,Disadvantaged,State,Zip_Code,Congressional District,NID Height (Ft),NID Height Category,Year Completed,Year Completed Category,NID Storage (Acre-Ft),Normal Storage (Acre-Ft),Data Last Updated,Last Inspection Date,Inspection Frequency_Years,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,Tract_Code,Block_Code,,Total_Population_Tract,White_Alone_Tract,White_Alone_Tract_Pct,Black_Alone_Tract,Black_Alone_Tract_Pct,Total_Population_Block,White_Alone_Block,White_Alone_Block_Pct,Black_Alone_Block,Black_Alone_Block_PCT
1308,Ruckers Pond Dam,SC00597,Private,Recreation,33.7524,-80.9021,Saint Matthews,Calhoun,950100,950100Calhoun,FALSE,South Carolina,29135,"South Carolina, Congressional District 06",32,25-50 feet,1900,1900-1909,264,76.7,9/15/2023,3/24/2017,5,Low,Poor,3/24/2017,Not Required,950100,1011,,5383,3528,65.54%,1511,28.07%,25,22,88.00%,0,0.00%
1309,Thrift Brothers Dam,SC00537,Private,Recreation,34.8497,-83.1723,Mountain Rest,Oconee,030100,030100Oconee,TRUE,South Carolina,29664,"South Carolina, Congressional District 03",43,25-50 feet,1970,1970-1979,118,102,9/15/2023,4/24/2017,5,Low,Poor,4/24/2017,Not Required,30100,2044,,4164,3916,94.04%,18,0.43%,38,38,100.00%,0,0.00%
1310,Lake Darpo Dam,SC00625,Local Government,Recreation,34.4573,-79.8804,Society Hill,Darlington,010100,010100Darlington,TRUE,South Carolina,29593,"South Carolina, Congressional District 07",15,Less than 25 feet,1957,1950-1959,146,86,9/15/2023,6/20/2023,2,High,Not Rated,6/20/2023,No,10100,3028,,2916,1028,35.25%,1793,61.49%,4,4,100.00%,0,0.00%
1311,Chapman Pond Dam,SC00311,Private,Recreation,33.4735,-81.6523,Aiken,Aiken,022001,022001Aiken,,South Carolina,29803,"South Carolina, Congressional District 02",21,Less than 25 feet,1948,1940-1949,248,110,9/11/2024,10/31/2023,2,High,Fair,10/31/2023,No,22001,3010,,4746,3334,70.25%,852,17.95%,113,96,84.96%,6,5.31%
1312,Samuels Pond Dam,SCD5047,Private,Recreation,33.7574,-81.8206,Trenton,Edgefield,970400,970400Edgefield,TRUE,South Carolina,29847,"South Carolina, Congressional District 03",19,Less than 25 feet,,Undetermined,268,158,9/15/2023,10/26/2021,3,Significant,Fair,10/26/2021,No,970400,2001,,3323,1648,49.59%,1364,41.05%,10,7,70.00%,3,30.00%
1313,D C Hughey Dam,SC00286,Private,Recreation,35.1077,-81.5494,Blacksburg,Cherokee,970401,970401Cherokee,TRUE,South Carolina,29702,"South Carolina, Congressional District 05",30,25-50 feet,1965,1960-1969,179,138,9/15/2023,8/30/2017,5,Low,Poor,8/30/2017,Not Required,970401,1079,,3598,3014,83.77%,331,9.20%,74,66,89.19%,8,10.81%
1314,Whitestone 1 Pond Dam,SC02195,Private,Recreation,34.9054,-81.8081,Spartanburg,Spartanburg,023901,023901Spartanburg,,South Carolina,29302,"South Carolina, Congressional District 04",35,25-50 feet,1964,1960-1969,50,41,9/15/2023,6/20/2017,5,Low,Poor,6/20/2017,Not Required,23901,1031,,1389,1124,80.92%,189,13.61%,46,29,63.04%,14,30.43%
1315,A P Bowden Pond Dam 1,SC01492,Private,Recreation,34.3121,-80.703,Lugoff,Kershaw,970401,970401Kershaw,FALSE,South Carolina,29078,"South Carolina, Congressional District 05",50,51-100 feet,1975,1970-1979,111,91,9/15/2023,3/29/2017,5,Low,Poor,3/29/2017,Not Required,970401,4010,,4855,3835,78.99%,643,13.24%,21,19,90.48%,0,0.00%
1316,Ta Dubose Dam 1,SC02276,Private,Recreation,33.8414,-81.5816,Monetta,Aiken,020100,020100Aiken,FALSE,South Carolina,29105,"South Carolina, Congressional District 02",30,25-50 feet,,Undetermined,93,81,9/15/2023,8/7/2017,5,Low,Poor,8/7/2017,Not Required,20100,3025,,4877,3203,65.68%,1012,20.75%,11,8,72.73%,2,18.18%
1317,Mcguirts House Pond Dam 1,SC01466,Private,Recreation,34.2958,-80.6328,Camden,Kershaw,970500,970500Kershaw,FALSE,South Carolina,29020,"South Carolina, Congressional District 05",10,Less than 25 feet,1953,1950-1959,62,36,9/15/2023,3/31/2017,5,Low,Fair,3/31/2017,Not Required,970500,5036,,6087,3762,61.80%,1847,30.34%,0,0,0.00%,0,0.00%
1318,New-Indy Dam 1,SC00679,Private,Other,34.8336,-80.8852,Fort Mill,York,061203,061203York,FALSE,South Carolina,29715,"South Carolina, Congressional District 05",34,25-50 feet,1957,1950-1959,4788,1008,9/15/2023,11/14/2022,5,Low,Fair,11/14/2022,Not Required,61203,2007,,6483,5067,78.16%,734,11.32%,13,2,15.38%,1,7.69%
1319,Caw Caw Pond Dam,SC02121,Private,Recreation,33.5157,-80.8927,Orangeburg,Orangeburg,010902,010902Orangeburg,,South Carolina,29118,"South Carolina, Congressional District 06",16,Less than 25 feet,1958,1950-1959,96,63,9/15/2023,7/17/2017,5,Low,Poor,7/17/2017,Not Required,10902,4002,,6374,2016,31.63%,3795,59.54%,180,60,33.33%,106,58.89%
1320,Fishing Creek WCD Dam 1,SC00667,Private,Flood Risk Reduction,35.0057,-81.1996,York,York,061506,061506York,,South Carolina,29745,"South Carolina, Congressional District 05",39,25-50 feet,1970,1970-1979,1902,245,9/11/2024,4/3/2024,2,High,Fair,4/3/2024,Yes,61506,2011,,5666,4817,85.02%,330,5.82%,58,44,75.86%,0,0.00%
1321,Pete Pond Dam 1,SC01788,Private,Recreation,34.645,-82.2967,Simpsonville,Greenville,003204,003204Greenville,,South Carolina,29680,"South Carolina, Congressional District 03",26,25-50 feet,,Undetermined,17,14,9/15/2023,5/16/2017,5,Low,Poor,5/16/2017,Not Required,3204,1002,,1746,1499,85.85%,102,5.84%,25,24,96.00%,0,0.00%
1322,Blake Plantation Pond Dam 1,SC01532,Private,Recreation,32.7492,-81.3707,Garnett,Hampton,920401,920401Hampton,,South Carolina,29922,"South Carolina, Congressional District 06",10,Less than 25 feet,1965,1960-1969,135,54,9/10/2024,11/28/2017,5,Low,Poor,11/28/2017,Not Required,920401,2041,,1829,585,31.98%,1179,64.46%,0,0,0.00%,0,0.00%
1323,Jackson-Mill Creek WCD Dam 1,SC02586,Private,Flood Risk Reduction,34.3904,-81.1845,Winnsboro,Fairfield,960200,960200Fairfield,TRUE,South Carolina,29180,"South Carolina, Congressional District 05",37,25-50 feet,1981,1980-1989,1165,180,9/10/2024,4/25/2017,5,Low,Satisfactory,4/25/2017,Not Required,960200,3027,,3506,1708,48.72%,1643,46.86%,147,84,57.14%,62,42.18%
1324,Woodson Pond Dam,SC00541,Private,Recreation,34.7574,-82.4642,Piedmont,Anderson,010200,010200Anderson,FALSE,South Carolina,29673,"South Carolina, Congressional District 03",27,25-50 feet,1959,1950-1959,318,228,9/15/2023,5/30/2017,5,Low,Fair,5/30/2017,Not Required,10200,1010,,5828,4938,84.73%,370,6.35%,429,400,93.24%,4,0.93%
1325,Blkrhouse Pond Dam 1,SC01994,Private,Recreation,33.5093,-79.3034,Georgetown,Georgetown,920400,920400Georgetown,TRUE,South Carolina,29440,"South Carolina, Congressional District 07",18,Less than 25 feet,1950,1950-1959,396,176,9/15/2023,12/6/2017,5,Low,Fair,12/6/2017,Not Required,920400,2033,,2923,826,28.26%,1994,68.22%,1,1,100.00%,0,0.00%
1326,Rbe Pond Dam 1,SC01831,Private,Other,34.3962,-82.7819,Starr,Anderson,012200,012200Anderson,FALSE,South Carolina,29684,"South Carolina, Congressional District 03",30,25-50 feet,1964,1960-1969,95,81,9/15/2023,12/11/2017,5,Low,Poor,12/11/2017,Not Required,12200,4002,,5513,4522,82.02%,600,10.88%,12,10,83.33%,2,16.67%
1327,International Paper Waste Pond Dam 1,SC01999,Private,Other,33.3703,-79.3167,Georgetown,Georgetown,920602,920602Georgetown,,South Carolina,29440,"South Carolina, Congressional District 07",22,Less than 25 feet,1972,1970-1979,570,420,9/10/2024,12/7/2017,5,Low,Fair,12/7/2017,Not Required,920602,1029,,2067,899,43.49%,1024,49.54%,0,0,0.00%,0,0.00%
1328,Nisbet Pond Dam 1,SC01331,Private,Recreation,34.8635,-80.8361,Lancaster,Lancaster,011209,011209Lancaster,,South Carolina,29720,"South Carolina, Congressional District 05",23,Less than 25 feet,1956,1950-1959,67,55,9/15/2023,9/8/2017,5,Low,Unsatisfactory,9/8/2017,Not Required,11209,3030,,8975,7763,86.50%,648,7.22%,43,35,81.40%,5,11.63%
1329,Duckwood Tailings Storage Facility,SC03563,Private,Tailings,34.6144,-80.5397,Kershaw,Lancaster,010201,010201Lancaster,,South Carolina,29067,"South Carolina, Congressional District 05",110,Greater than 100 feet,,Undetermined,13943,556,9/11/2024,8/25/2023,2,High,Fair,8/25/2023,Yes,10201,1044,,3559,2220,62.38%,1158,32.54%,19,16,84.21%,0,0.00%
1330,Cherokee Golf Pond 1,SC01847,Private,Irrigation,35.1215,-81.6981,Gaffney,Cherokee,970204,970204Cherokee,,South Carolina,29341,"South Carolina, Congressional District 05",22,Less than 25 feet,1960,1960-1969,60,44,5/8/2024,8/29/2017,5,Low,Fair,8/29/2017,Not Required,970204,1024,,4514,3747,83.01%,318,7.04%,411,389,94.65%,4,0.97%
1331,Cliffs Valley Golf Course Dam 1,SC01733,Private,Recreation,35.1293,-82.4586,Travelers Rest,Greenville,004004,004004Greenville,,South Carolina,29690,"South Carolina, Congressional District 04",27,25-50 feet,1975,1970-1979,93.6,44,9/15/2023,5/9/2017,5,Low,Fair,5/9/2017,Not Required,4004,1018,,1793,1690,94.26%,15,0.84%,41,39,95.12%,0,0.00%
1332,Beaverdam Creek WCD Dam 1,SC01109,Private,Flood Risk Reduction,33.7794,-81.8985,Edgefield,Edgefield,970203,970203Edgefield,,South Carolina,29824,"South Carolina, Congressional District 03",31,25-50 feet,1964,1960-1969,999,40,9/11/2024,10/23/2023,2,High,Fair,10/23/2023,Yes,970203,2036,,2328,1391,59.75%,829,35.61%,11,10,90.91%,0,0.00%
1333,Nisbit Farms INC Pond Dam 1,SC01335,Private,Recreation,34.9072,-80.8646,Lancaster,Lancaster,011209,011209Lancaster,,South Carolina,29720,"South Carolina, Congressional District 05",27,25-50 feet,1958,1950-1959,102,74,9/15/2023,8/29/2017,5,Low,Poor,8/29/2017,Not Required,11209,2035,,8975,7763,86.50%,648,7.22%,20,4,20.00%,7,35.00%
1334,Sunny Slopes Pond 1 Dam,SC02190,Private,Irrigation,35.0625,-81.8093,Cowpens,Spartanburg,022306,022306Spartanburg,,South Carolina,29330,"South Carolina, Congressional District 05",35,25-50 feet,1969,1960-1969,144,124,9/15/2023,4/11/2023,3,Significant,Fair,4/11/2023,Yes,22306,4037,,4417,3876,87.75%,211,4.78%,23,23,100.00%,0,0.00%
1335,Lancaster County Waterworks Dam,SC01185,Local Government,Water Supply,34.7016,-80.7539,Lancaster,Lancaster,010700,010700Lancaster,TRUE,South Carolina,29720,"South Carolina, Congressional District 05",16,Less than 25 feet,1962,1960-1969,1125,725,9/11/2024,9/5/2023,2,High,Fair,9/5/2023,No,10700,3038,,3623,635,17.53%,2657,73.34%,0,0,0.00%,0,0.00%
1336,Wood-Berry Dam,SC00204,Private,Recreation,33.8034,-81.4696,Gilbert,Lexington,021403,021403Lexington,TRUE,South Carolina,29054,"South Carolina, Congressional District 02",14,Less than 25 feet,1930,1930-1939,78,50,9/15/2023,4/10/2017,5,Low,Poor,4/10/2017,Not Required,21403,2038,,2178,1656,76.03%,201,9.23%,7,7,100.00%,0,0.00%
1337,R Milliken Pond 1 Dam,SC02238,Private,Recreation,35.0832,-82.0669,Inman,Spartanburg,022803,022803Spartanburg,,South Carolina,29349,"South Carolina, Congressional District 04",18,Less than 25 feet,1955,1950-1959,138,87,9/15/2023,2/21/2023,2,High,Poor,2/21/2023,Yes,22803,1037,,2054,1883,91.67%,43,2.09%,0,0,0.00%,0,0.00%
1338,Glenn Pond Dam 1,SC01816,Private,Recreation,34.479,-82.7389,Anderson,Anderson,012002,012002Anderson,FALSE,South Carolina,29626,"South Carolina, Congressional District 03",23,Less than 25 feet,1961,1960-1969,40,30,9/11/2024,11/16/2023,2,High,Fair,11/16/2023,Yes,12002,1024,,5056,3357,66.40%,1264,25.00%,167,115,68.86%,36,21.56%
1339,Lake Heron Dam,SC00338,Private,Other,33.4997,-81.7678,Aiken,Aiken,022003,022003Aiken,,South Carolina,29803,"South Carolina, Congressional District 02",12,Less than 25 feet,1917,1910-1919,68,48,9/15/2023,8/7/2017,5,Low,Poor,8/7/2017,Not Required,22003,3006,,4592,3290,71.65%,957,20.84%,37,25,67.57%,5,13.51%
1340,Lake Albert Dam,SCD5036,Private,Recreation,34.9347,-81.0857,Rock Hill,York,061404,061404York,FALSE,South Carolina,29732,"South Carolina, Congressional District 05",18,Less than 25 feet,,Undetermined,52,33,9/15/2023,12/13/2021,3,Significant,Poor,12/13/2021,Yes,61404,1022,,3711,2668,71.89%,744,20.05%,146,126,86.30%,13,8.90%
1341,Herbert Risinger Dam,SC00199,Private,Recreation,33.8237,-81.4616,Batesburg,Lexington,021403,021403Lexington,TRUE,South Carolina,29006,"South Carolina, Congressional District 02",19,Less than 25 feet,1900,1900-1909,151,118,9/15/2023,4/24/2023,2,High,Fair,4/24/2023,Yes,21403,2028,,2178,1656,76.03%,201,9.23%,52,46,88.46%,1,1.92%
1342,Ibrahim Pond Dam,SC00556,Private,Recreation,34.5723,-82.7276,Anderson,Anderson,010602,010602Anderson,,South Carolina,29625,"South Carolina, Congressional District 03",32,25-50 feet,1964,1960-1969,82,62,9/15/2023,6/19/2017,5,Low,Poor,6/19/2017,Not Required,10602,1025,,4014,3473,86.52%,216,5.38%,19,12,63.16%,0,0.00%
1343,Martins Pond,SC01088,Private,Recreation,34.2609,-81.7477,Silverstreet,Newberry,950700,950700Newberry,TRUE,South Carolina,29145,"South Carolina, Congressional District 03",20,Less than 25 feet,1953,1950-1959,83,56,9/15/2023,10/11/2017,5,Low,Poor,10/11/2017,Not Required,950700,2025,,3893,2403,61.73%,1180,30.31%,33,29,87.88%,1,3.03%
1344,Leonidas Dam,SC00532,Private,Recreation,34.9144,-83.0153,Tamassee,Oconee,030201,030201Oconee,,South Carolina,29686,"South Carolina, Congressional District 03",21,Less than 25 feet,1960,1960-1969,126,96,9/11/2024,11/10/2023,2,High,Fair,11/10/2023,Yes,30201,1038,,2500,2332,93.28%,9,0.36%,39,37,94.87%,0,0.00%
1345,Peeples Pond Dam,SC01001,Private,Recreation,32.6333,-81.1998,Garnett,Hampton,920500,920500Hampton,TRUE,South Carolina,29922,"South Carolina, Congressional District 06",16,Less than 25 feet,1957,1950-1959,500,210,9/15/2023,11/27/2017,5,Low,Fair,11/27/2017,Not Required,920500,2069,,1551,318,20.50%,1181,76.14%,0,0,0.00%,0,0.00%
1346,Okeetee Club Dam,SC00989,Private,Recreation,32.3729,-80.9237,Ridgeland,Jasper,950201,950201Jasper,FALSE,South Carolina,29936,"South Carolina, Congressional District 06",8,Less than 25 feet,1900,1900-1909,111,66,9/15/2023,11/16/2017,5,Low,Poor,11/16/2017,Not Required,950201,3082,,7760,5299,68.29%,1590,20.49%,24,1,4.17%,21,87.50%
1347,Ripplelake Drive Dam,SCD5049,Private,Recreation,34.944,-82.5976,Easley,Pickens,010501,010501Pickens,TRUE,South Carolina,29640,"South Carolina, Congressional District 03",29,25-50 feet,,Undetermined,61,39,9/11/2024,7/11/2024,3,Significant,Poor,7/11/2024,No,10501,2039,,2968,2757,92.89%,14,0.47%,46,45,97.83%,0,0.00%
1348,New-Indy Dam 8,SCD5058,Private,Other,34.8311,-80.8958,Fort Mill,York,061203,061203York,FALSE,South Carolina,29715,"South Carolina, Congressional District 05",43,25-50 feet,,Undetermined,2934,762,9/15/2023,11/14/2022,3,Significant,Fair,11/14/2022,Yes,61203,2015,,6483,5067,78.16%,734,11.32%,3,2,66.67%,0,0.00%
1349,Doggish Pond Dam,SCD5031,Private,Recreation,33.8236,-81.8031,Johnston,Edgefield,970300,970300Edgefield,TRUE,South Carolina,29832,"South Carolina, Congressional District 03",12,Less than 25 feet,,Undetermined,27,0,9/15/2023,6/22/2022,2,High,Fair,6/22/2022,No,970300,3033,,4147,1831,44.15%,1829,44.10%,11,0,0.00%,11,100.00%
1350,Eureka Lake Dam,SC00028,State,Recreation,34.6428,-79.8935,Cheraw,Chesterfield,950602,950602Chesterfield,,South Carolina,29520,"South Carolina, Congressional District 07",25,25-50 feet,1937,1930-1939,4389,1770,9/15/2023,3/24/2023,2,High,Poor,3/24/2023,Yes,950602,2030,,3285,1523,46.36%,1537,46.79%,11,1,9.09%,4,36.36%
1351,R Austin Gilbert Jr Dam,SCD5018,Private,Recreation,35.1766,-82.2512,Landrum,Greenville,002404,002404Greenville,FALSE,South Carolina,29356,"South Carolina, Congressional District 04",38,25-50 feet,,Undetermined,53,0,9/15/2023,,5,Low,,,Not Required,2404,3040,,4085,3869,94.71%,24,0.59%,40,39,97.50%,0,0.00%
1352,Crystal Lakes Lower Dam,SCD5006,Private,Recreation,33.463,-81.7781,Aiken,Aiken,022003,022003Aiken,,South Carolina,29803,"South Carolina, Congressional District 02",26,25-50 feet,,Undetermined,70,0,9/15/2023,8/8/2017,5,Low,Poor,8/8/2017,Not Required,22003,3014,,4592,3290,71.65%,957,20.84%,241,200,82.99%,23,9.54%
1353,Cryovac Dam,SC02725,Private,Recreation,34.9069,-82.11,Duncan,Spartanburg,023101,023101Spartanburg,TRUE,South Carolina,29334,"South Carolina, Congressional District 04",29,25-50 feet,,Undetermined,35,26,9/15/2023,6/30/2023,2,High,Fair,6/30/2023,Yes,23101,3043,,5693,3315,58.23%,1515,26.61%,0,0,0.00%,0,0.00%
1354,American Legion Lake Dam,SC00242,Private,Recreation,34.4295,-82.3481,Honea Path,Abbeville,950100,950100Abbeville,,South Carolina,29654,"South Carolina, Congressional District 03",27,25-50 feet,,Undetermined,330,230,9/15/2023,9/28/2017,5,Low,Poor,9/28/2017,Not Required,950100,1028,,3094,2505,80.96%,412,13.32%,0,0,0.00%,0,0.00%
1355,Cliffs Valley Golf Course Dam 2,SC01734,Private,Recreation,35.1309,-82.4605,Travelers Rest,Greenville,004004,004004Greenville,,South Carolina,29690,"South Carolina, Congressional District 04",28,25-50 feet,,Undetermined,38,29,9/15/2023,5/9/2017,5,Low,Fair,5/9/2017,Not Required,4004,1018,,1793,1690,94.26%,15,0.84%,41,39,95.12%,0,0.00%
1356,Pucketts Ferry Dam A1,SC02375,Private,Recreation,34.2566,-82.0352,Greenwood,Greenwood,970602,970602Greenwood,,South Carolina,29649,"South Carolina, Congressional District 03",32,25-50 feet,1988,1980-1989,36,18,9/15/2023,9/16/2022,2,High,Fair,9/16/2022,Yes,970602,3001,,3390,1626,47.96%,1526,45.01%,249,236,94.78%,8,3.21%
1357,Tuckers Pond Dam,SC01913,Private,Recreation,34.7877,-80.3946,Pageland,Chesterfield,950102,950102Chesterfield,TRUE,South Carolina,29728,"South Carolina, Congressional District 07",30,25-50 feet,1950,1950-1959,64,54,9/15/2023,10/23/2017,5,Low,Poor,10/23/2017,Not Required,950102,2018,,4464,2222,49.78%,1768,39.61%,31,17,54.84%,11,35.48%
1358,Stephen Orr Dam,SC02605,Private,Other,34.5518,-81.8529,Clinton,Laurens,920600,920600Laurens,TRUE,South Carolina,29325,"South Carolina, Congressional District 03",26,25-50 feet,1989,1980-1989,51,27,9/15/2023,9/27/2017,5,Low,Poor,9/27/2017,Not Required,920600,1014,,4264,3011,70.61%,1020,23.92%,24,23,95.83%,0,0.00%
1359,Flatwood Lake Dam,SC02221,Private,"Fire Protection, Stock, Or Small Fish Pond",35.0304,-81.9363,Spartanburg,Spartanburg,021402,021402Spartanburg,FALSE,South Carolina,29303,"South Carolina, Congressional District 05",31,25-50 feet,1956,1950-1959,102,72,9/15/2023,6/15/2023,3,Significant,Fair,6/15/2023,Yes,21402,1000,,3938,2918,74.10%,527,13.38%,396,289,72.98%,61,15.40%
1360,Robert Wright Dam,SC01695,Private,Recreation,33.4213,-81.379,Williston,Barnwell,970101,970101Barnwell,,South Carolina,29853,"South Carolina, Congressional District 02",17,Less than 25 feet,1957,1950-1959,157,77,9/15/2023,8/23/2017,5,Low,Poor,8/23/2017,Not Required,970101,1000,,1863,694,37.25%,1066,57.22%,6,6,100.00%,0,0.00%
1361,Santee State Park Dam 2,SC00453,State,Recreation,33.5136,-80.482,Santee,Orangeburg,010305,010305Orangeburg,,South Carolina,29142,"South Carolina, Congressional District 06",15,Less than 25 feet,1974,1970-1979,65,41,9/15/2023,7/11/2017,5,Low,Not Rated,7/11/2017,Not Required,10305,1003,,1240,944,76.13%,181,14.60%,23,14,60.87%,5,21.74%
1362,David Snodgrass Dam,SC02610,Private,Other,33.7589,-81.992,Edgefield,Edgefield,970204,970204Edgefield,,South Carolina,29824,"South Carolina, Congressional District 03",26,25-50 feet,1988,1980-1989,21.5,16.7,9/15/2023,8/2/2017,5,Low,Fair,8/2/2017,Not Required,970204,1016,,4072,1730,42.49%,2165,53.17%,28,12,42.86%,15,53.57%
1363,Hunter-Williams Dam,SC02023,Private,Recreation,34.6262,-82.0242,Gray Court,Laurens,920501,920501Laurens,FALSE,South Carolina,29645,"South Carolina, Congressional District 03",34,25-50 feet,1975,1970-1979,24,18,9/15/2023,9/19/2017,5,Low,Poor,9/19/2017,Not Required,920501,1034,,1799,1318,73.26%,349,19.40%,34,34,100.00%,0,0.00%
1364,Streater Pond Dam,SC01856,Private,Recreation,34.5952,-79.8928,Cheraw,Chesterfield,950601,950601Chesterfield,,South Carolina,29520,"South Carolina, Congressional District 07",16,Less than 25 feet,1950,1950-1959,71,48,9/15/2023,10/27/2017,5,Low,Poor,10/27/2017,Yes,950601,2006,,1940,972,50.10%,835,43.04%,44,33,75.00%,11,25.00%
1365,J B Green Pond Dam,SC01782,Private,Recreation,34.766,-82.3247,Mauldin,Greenville,002904,002904Greenville,FALSE,South Carolina,29662,"South Carolina, Congressional District 04",20,Less than 25 feet,1964,1960-1969,92,75,9/11/2024,8/5/2024,2,High,Fair,8/5/2024,No,2904,2013,,5864,3199,54.55%,1713,29.21%,12,9,75.00%,2,16.67%
1366,Shrine Club Lake Dam,SC01844,Private,Recreation,35.0353,-81.6508,Gaffney,Cherokee,970601,970601Cherokee,FALSE,South Carolina,29340,"South Carolina, Congressional District 05",30,25-50 feet,1977,1970-1979,58,43,9/15/2023,9/6/2017,5,Low,Unsatisfactory,9/6/2017,Not Required,970601,4018,,5491,4138,75.36%,936,17.05%,46,42,91.30%,3,6.52%
1367,Chestnut Lake Dam,SC02169,Private,Recreation,35.0084,-82.0495,Inman,Spartanburg,022806,022806Spartanburg,,South Carolina,29349,"South Carolina, Congressional District 04",26,25-50 feet,1975,1970-1979,224,144,9/11/2024,7/9/2024,2,High,Fair,7/9/2024,Yes,22806,2019,,6366,4706,73.92%,894,14.04%,0,0,0.00%,0,0.00%
1368,Burnsides Pond Dam,SC01275,Private,"Fire Protection, Stock, Or Small Fish Pond",33.9538,-80.9413,Columbia,Richland,011607,011607Richland,FALSE,South Carolina,29209,"South Carolina, Congressional District 02",16,Less than 25 feet,1954,1950-1959,120,90,9/15/2023,3/22/2017,5,Low,Fair,3/22/2017,Not Required,11607,2023,,4720,1294,27.42%,2723,57.69%,278,7,2.52%,268,96.40%
1369,Wises Pond Dam,SC01271,Private,"Fire Protection, Stock, Or Small Fish Pond",33.9108,-81.5996,Batesburg,Saluda,960301,960301Saluda,,South Carolina,29006,"South Carolina, Congressional District 03",19,Less than 25 feet,1962,1960-1969,59,33,9/15/2023,10/12/2017,5,Low,Poor,10/12/2017,Not Required,960301,3022,,2895,2318,80.07%,399,13.78%,16,15,93.75%,0,0.00%
1370,Thompsons Pond Dam,SC01531,Private,Recreation,32.5265,-80.9941,Ridgeland,Jasper,950100,950100Jasper,TRUE,South Carolina,29936,"South Carolina, Congressional District 06",18,Less than 25 feet,1965,1960-1969,65,37,9/15/2023,11/30/2017,5,Low,Poor,11/30/2017,Not Required,950100,1092,,5047,2398,47.51%,2076,41.13%,94,79,84.04%,10,10.64%
1371,Bedenbaugh Pond Dam,SC02475,Private,Recreation,34.1063,-81.5595,Prosperity,Newberry,950604,950604Newberry,,South Carolina,29127,"South Carolina, Congressional District 03",26,25-50 feet,1990,1990-1999,90,61,9/15/2023,10/12/2017,5,Low,Poor,10/12/2017,Not Required,950604,2001,,3809,3377,88.66%,252,6.62%,208,198,95.19%,0,0.00%
1372,White Pines Lake Dam,SC01510,State,Fish and Wildlife Pond,34.812,-81.7088,Jonesville,Union,030800,030800Union,TRUE,South Carolina,29353,"South Carolina, Congressional District 05",16,Less than 25 feet,1954,1950-1959,94,69,9/11/2024,1/31/2024,3,Significant,Fair,1/31/2024,Yes,30800,3040,,3521,2545,72.28%,773,21.95%,81,53,65.43%,21,25.93%
1373,Hutchins/Hurst Dam,SC02799,Private,Irrigation,33.7848,-81.8014,Johnston,Edgefield,970300,970300Edgefield,TRUE,South Carolina,29832,"South Carolina, Congressional District 03",29,25-50 feet,2000,Since 2000,175,113,9/15/2023,7/26/2017,5,Low,Fair,7/26/2017,Not Required,970300,2039,,4147,1831,44.15%,1829,44.10%,47,46,97.87%,0,0.00%
1374,Gulledge Pond Dam,SC01426,Private,"Fire Protection, Stock, Or Small Fish Pond",33.8657,-80.5185,Wedgefield,Sumter,001801,001801Sumter,TRUE,South Carolina,29168,"South Carolina, Congressional District 05",12,Less than 25 feet,1960,1960-1969,65,31,9/15/2023,4/20/2017,5,Low,Fair,4/20/2017,Not Required,1801,1041,,3851,2171,56.37%,1359,35.29%,5,4,80.00%,0,0.00%
1375,Frierson Pond Dam,SC01416,Private,Recreation,33.9595,-80.4497,Sumter,Sumter,001803,001803Sumter,,South Carolina,29154,"South Carolina, Congressional District 05",8,Less than 25 feet,1930,1930-1939,74,62,9/11/2024,10/3/2023,2,High,Fair,10/3/2023,Yes,1803,3015,,4824,2504,51.91%,1756,36.40%,62,47,75.81%,7,11.29%
1376,Ivanhoe Plantation Dam,SC01545,Private,Recreation,32.8136,-81.3498,Luray,Allendale,970500,970500Allendale,,South Carolina,29932,"South Carolina, Congressional District 06",13,Less than 25 feet,1974,1970-1979,199,114,9/15/2023,10/25/2022,2,High,Poor,10/25/2022,No,970500,4063,,4041,1301,32.20%,2519,62.34%,1,0,0.00%,1,100.00%
1377,Falls Pond Dam,SC02290,Private,Recreation,33.7205,-80.9678,Swansea,Calhoun,950100,950100Calhoun,FALSE,South Carolina,29160,"South Carolina, Congressional District 06",20,Less than 25 feet,,Undetermined,101,63,9/11/2024,10/2/2023,3,Significant,Poor,10/2/2023,Yes,950100,2001,,5383,3528,65.54%,1511,28.07%,94,80,85.11%,6,6.38%
1378,Summit Dam 6,SC02691,Private,Flood Risk Reduction,34.1605,-80.8885,Columbia,Richland,011423,011423Richland,,South Carolina,29229,"South Carolina, Congressional District 02",24,Less than 25 feet,1994,1990-1999,137,67,9/15/2023,5/26/2023,2,High,Poor,5/26/2023,Yes,11423,2023,,9096,2441,26.84%,5347,58.78%,1760,423,24.03%,1189,67.56%
1379,Cokers Pond Dam,SC01454,Private,Recreation,33.0023,-80.7046,Walterboro,Colleton,970401,970401Colleton,TRUE,South Carolina,29488,"South Carolina, Congressional District 06",10,Less than 25 feet,1972,1970-1979,121,40,9/15/2023,11/27/2017,5,Low,Poor,11/27/2017,Not Required,970401,2038,,4294,2759,64.25%,1173,27.32%,2,2,100.00%,0,0.00%
